假使,34
非人,33
重恭,33
見有,33
薩言,33
薩以,33
能為,33
種善,33
福甚,33
生諸,33
書持,33
是義,33
故彼,33
提記,33
我於,33
心者,33
復為,33
學是,33
子汝,33
多為,33
及諸,33
分不,33
中不,33
長者,32
足如,32
諸如,32
記念,32
衣服,32
空中,32
百千,32
為欲,32
為世,32
心所,32
得成,32
已得,32
多善,32
含果,32
即作,32
以何,32
人演,32
不舍,32
過失,31
退失,31
證阿,31
謂了,31
諸魔,31
誦記,31
薩雖,31
知此,31
生法,31
無著,31
無住,31
心復,31
心云,31
復不,31
得故,31
得其,31
多而,31
地一,31
光明,31
不壞,31
陀含,30
阿那,30
那含,30
言我,30
華燈,30
色不,30
者於,30
者女,30
燈塗,30
無解,30
無縛,30
法而,30
時世,30
是名,30
斯陀,30
故我,30
提於,30
幢幡,30
幡寶,30
寶蓋,30
即時,30
其便,30
來真,30
隨所,29
迦於,29
識不,29
薩道,29
若善,29
福多,29
真實,29
無性,29
法自,29
智慧,29
於如,29
數三,29
故而,29
故當,29
故出,29
提又,29
授阿,29
持戒,29
所出,29
得是,29
得不,29
寫經,29
如無,29
先佛,29
以諸,29
難若,28
阿修,28
識無,28
解心,28
行相,28
行如,28
薩當,28
縛無,28
相是,28
為他,28
有一,28
故得,28
授記,28
忍辱,28
即於,28
即一,28
力故,28
別故,28
修羅,28
不說,28
不帝,28
迦如,27
諸相,27
言甚,27
親近,27
而諸,27
者亦,27
皆不,27
發信,27
法離,27
故此,27
所獲,27
我等,27
復有,27
從是,27
得無,27
尊菩,27
寂靜,27
威神,27
多如,27
地獄,27
又須,27
切處,27
來無,27
使其,27
住阿,27
不受,27
說者,26
覺之,26
薩作,26
薩乘,26
色無,26
福蘊,26
發阿,26
發心,26
無轉,26
無來,26
是趣,26
是修,26
是不,26
故若,26
提當,26
尊般,26
如虛,26
天人,26
多諸,26
多即,26
四無,26
可見,26
劫中,26
何況,26
何是,26
人解,26
人為,26
不驚,26
上甚,26
七寶,26
間作,25
釋其,25
近阿,25
諸香,25
解釋,25
薩即,25
薩修,25
若於,25
色相,25
脫門,25
相若,25
當為,25
生亦,25
生一,25
父母,25
無滅,25
為眾,25
涅槃,25
法生,25
法於,25
汝當,25
樂欲,25
根迴,25
提此,25
所住,25
彼人,25
就一,25
子如,25
如幻,25
多發,25
多復,25
多何,25
在諸,25
十方,25
力所,25
切時,25
修菩,25
何所,25
今當,25
不怖,25
驚不,24
飲食,24
離故,24
雖多,24
隨順,24
趣求,24
說是,24
見諸,24
而此,24
種供,24
神通,24
破壞,24
皆是,24
疑惑,24
生普,24
無染,24
滿閻,24
法皆,24
會中,24
是隨,24
所證,24
所言,24
我不,24
慈氏,24
心住,24
從般,24
得大,24
大法,24
大利,24
夢中,24
增長,24
塗幢,24
四大,24
向法,24
來世,24
何等,24
令諸,24
五百,24
乘人,24
驚怖,23
願我,23
請問,23
覺法,23
見是,23
能受,23
